blk_no,street,max_floor_lvl,year_completed,residential,commercial,market_hawker,miscellaneous,multistorey_carpark,precinct_pavilion,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,lat,lng,postal
347,KANG CHING RD,11,1995,Y,Y,N,N,N,N,JW,93,0,0,0,63,30,0,0,0,0,0,0,0,1.33910820201548,103.72199577373,NIL
347,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,77,0,0,0,59,18,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
347,UBI AVE 1,13,1985,Y,Y,N,N,N,N,GL,96,0,0,0,96,0,0,0,0,0,0,0,0,1.32970734674113,103.899775893502,NIL
347,WOODLANDS AVE 3,12,1985,Y,N,N,Y,N,N,WL,88,0,0,0,48,40,0,0,0,0,0,0,0,1.43277433932257,103.779091222588,NIL
347,YISHUN AVE 11,2,2013,N,N,N,N,N,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
347A,ANG MO KIO AVE 3,5,1994,N,N,N,N,Y,N,AMK,0,0,0,0,0,0,0,0,0,0,0,0,0,1.36930582535665,103.856036447479,NIL
347A,YISHUN AVE 11,16,2013,Y,N,N,N,N,N,YS,146,0,0,28,88,30,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
347B,YISHUN AVE 11,16,2013,Y,N,N,N,N,N,YS,142,0,0,28,100,14,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
347C,YISHUN AVE 11,1,2013,N,N,N,N,N,Y,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
348,ANG MO KIO AVE 3,12,1977,Y,N,N,Y,N,N,AMK,154,0,0,121,33,0,0,0,0,0,0,0,0,1.36930582535665,103.856036447479,NIL
348,BT BATOK ST 34,14,1986,Y,Y,N,N,N,N,BB,118,0,0,0,74,44,0,0,0,0,0,0,0,1.36376374935757,103.750104044118,NIL
348,CLEMENTI AVE 5,12,1978,Y,N,N,N,N,N,CL,110,0,0,0,110,0,0,0,0,0,0,0,0,1.3172207217023,103.767858082611,NIL
348,JURONG EAST AVE 1,3,1984,Y,Y,N,N,N,N,JE,8,0,0,8,0,0,0,0,0,0,0,0,0,1.34394361727901,103.734931027328,NIL
348,KANG CHING RD,11,1995,Y,N,N,N,N,N,JW,125,0,0,0,95,30,0,0,0,0,0,0,0,1.33910820201548,103.72199577373,NIL
348,TAMPINES ST 33,10,1994,Y,N,N,N,N,N,TAP,77,0,0,0,59,18,0,0,0,0,0,0,0,1.35687847904174,103.937739198068,520703
348,UBI AVE 1,12,1985,Y,N,N,N,N,N,GL,114,0,0,0,114,0,0,0,0,0,0,0,0,1.32970734674113,103.899775893502,NIL
348,WOODLANDS AVE 3,13,1985,Y,N,N,N,N,N,WL,96,0,0,0,54,42,0,0,0,0,0,0,0,1.43277433932257,103.779091222588,NIL
348,YISHUN AVE 11,1,2013,N,Y,N,N,N,N,YS,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
348A,YISHUN AVE 11,16,2013,Y,Y,N,N,N,N,YS,140,0,0,28,98,14,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
348B,YISHUN AVE 11,16,2013,Y,N,N,N,N,N,YS,112,0,0,28,56,28,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
348C,YISHUN AVE 11,16,2013,Y,N,N,N,N,N,YS,112,0,0,28,70,14,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
348D,YISHUN AVE 11,16,2013,Y,N,N,N,N,N,YS,154,0,0,28,98,28,0,0,0,0,0,0,0,1.42461689018749,103.844628266802,NIL
349,BT BATOK ST 34,12,1985,Y,N,N,N,N,N,BB,88,0,0,0,88,0,0,0,0,0,0,0,0,1.36376374935757,103.750104044118,NIL
349,CLEMENTI AVE 2,10,1977,Y,N,N,N,N,N,CL,90,0,0,0,90,0,0,0,0,0,0,0,0,1.31437328536733,103.770805494512,120353
